root_id,cell_type,super_class,side,top_nt,top_nt_conf,known_nt,known_nt_source,vfb_id,fbbt_id
720575940626745392,LPLC2,visual_projection,right,acetylcholine,0.5938895305175015,acetylcholine,"Davis et al., 2020 (TAPIN)",fw000119,FBbt_00111763
720575940626447848,LPLC2,visual_projection,right,acetylcholine,0.44377651341063235,acetylcholine,"Davis et al., 2020 (TAPIN)",fw000636,FBbt_00111763
720575940631380695,LPLC2,visual_projection,left,acetylcholine,0.5833305410963041,acetylcholine,"Davis et al., 2020 (TAPIN)",fw001111,FBbt_00111763
720575940618002644,LC4,visual_projection,left,acetylcholine,0.5835598448005004,acetylcholine,"Davis et al., 2020 (TAPIN)",fw001153,FBbt_00003874
720575940626916936,LC4,visual_projection,left,acetylcholine,0.6268629248257755,acetylcholine,"Davis et al., 2020 (TAPIN)",fw001154,FBbt_00003874
720575940632769180,LC4,visual_projection,left,acetylcholine,0.6104038909435661,acetylcholine,"Davis et al., 2020 (TAPIN)",fw001160,FBbt_00003874
720575940630484495,LC4,visual_projection,left,acetylcholine,0.6838924296275382,acetylcholine,"Davis et al., 2020 (TAPIN)",fw001186,FBbt_00003874
720575940612518055,LC4,visual_projection,left,acetylcholine,0.5856059593127513,acetylcholine,"Davis et al., 2020 (TAPIN)",fw001187,FBbt_00003874
720575940634517856,LC4,visual_projection,left,acetylcholine,0.6551156219521345,acetylcholine,"Davis et al., 2020 (TAPIN)",fw001191,FBbt_00003874
720575940633580384,LC4,visual_projection,left,acetylcholine,0.5069861288695127,acetylcholine,"Davis et al., 2020 (TAPIN)",fw001194,FBbt_00003874
720575940649229433,LC4,visual_projection,left,acetylcholine,0.6326982674850014,acetylcholine,"Davis et al., 2020 (TAPIN)",fw001236,FBbt_00003874
720575940630998339,LC4,visual_projection,left,acetylcholine,0.6004082383861999,acetylcholine,"Davis et al., 2020 (TAPIN)",fw001237,FBbt_00003874
720575940618723749,LC4,visual_projection,left,acetylcholine,0.5410937845538862,acetylcholine,"Davis et al., 2020 (TAPIN)",fw001250,FBbt_00003874
