Presynaptic_ID,Postsynaptic_ID,Presynaptic_Index,Postsynaptic_Index,Connectivity,Excitatory,Excitatory x Connectivity,Presynaptic_Type,Presynaptic_Side,Postsynaptic_Side
720575940614582946,720575940632499757,20810,108748,16,1,16,LC4,right,right
720575940639817947,720575940632499757,127954,108748,16,1,16,LC4,right,right
720575940647358243,720575940632499757,135809,108748,16,1,16,LPLC2,right,right
720575940614526974,720575940632499757,20621,108748,15,1,15,LPLC2,right,right
720575940625906702,720575940632499757,73846,108748,15,1,15,LC4,right,right
720575940629292785,720575940622838154,92830,57246,15,1,15,LPLC2,left,left
720575940618608177,720575940622838154,35831,57246,15,1,15,LPLC2,left,left
720575940612462307,720575940632499757,14164,108748,15,1,15,LPLC2,right,right
720575940631095158,720575940632499757,102213,108748,14,1,14,LPLC2,right,right
720575940633580384,720575940622838154,112907,57246,14,1,14,LC4,left,left
720575940634146967,720575940632499757,114505,108748,14,1,14,LPLC2,right,right
720575940632080146,720575940622838154,106877,57246,14,1,14,LPLC2,left,left
720575940614572742,720575940622838154,20770,57246,14,1,14,LC4,left,left
720575940631032657,720575940632499757,101892,108748,14,1,14,LC4,right,right
720575940618709158,720575940632499757,36239,108748,13,1,13,LC4,right,right
720575940626626895,720575940622838154,77411,57246,13,1,13,LC4,left,left
720575940628699560,720575940622838154,89699,57246,13,1,13,LC4,left,left
720575940639177449,720575940632499757,126552,108748,13,1,13,LPLC2,right,right
720575940613470947,720575940622838154,17467,57246,12,1,12,LPLC2,left,left
720575940612968421,720575940632499757,15883,108748,12,1,12,LC4,right,right
720575940615575007,720575940622838154,24281,57246,12,1,12,LC4,left,left
720575940620314612,720575940632499757,42886,108748,12,1,12,LC4,right,right
720575940614738444,720575940622838154,21420,57246,12,1,12,LPLC2,left,left
720575940624903064,720575940632499757,68741,108748,12,1,12,LPLC2,right,right
720575940612518055,720575940622838154,14345,57246,12,1,12,LC4,left,left
720575940623333770,720575940632499757,60151,108748,12,1,12,LPLC2,right,right
720575940622108001,720575940622838154,53122,57246,12,1,12,LC4,left,left
720575940625932421,720575940632499757,73964,108748,12,1,12,LC4,right,right
720575940628518400,720575940632499757,88693,108748,12,1,12,LC4,right,right
720575940626447848,720575940632499757,76530,108748,12,1,12,LPLC2,right,right
720575940627902979,720575940632499757,85075,108748,12,1,12,LPLC2,right,right
720575940631742405,720575940632499757,105415,108748,12,1,12,LPLC2,right,right
720575940633552685,720575940632499757,112800,108748,11,1,11,LPLC2,right,right
720575940631397549,720575940632499757,103783,108748,11,1,11,LPLC2,right,right
720575940625934973,720575940622838154,73977,57246,11,1,11,LC4,left,left
720575940628990214,720575940632499757,91306,108748,11,1,11,LPLC2,right,right
720575940625216202,720575940622838154,70434,57246,11,1,11,LPLC2,left,left
720575940617289782,720575940622838154,30292,57246,11,1,11,LPLC2,left,left
720575940607845250,720575940622838154,5141,57246,11,1,11,LPLC2,left,left
720575940615232217,720575940632499757,23130,108748,11,1,11,LC4,right,right
720575940622156799,720575940622838154,53436,57246,11,1,11,LPLC2,left,left
